candidate_id,rank,score,reasoning
CAND_0081846,1,1.013534,"6.7 years experience, currently Lead AI Engineer at Razorpay, with hands-on vector search / retrieval infra, Python; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0079387,2,1.010479,"6.9 years experience, currently AI Engineer at Microsoft, with hands-on embeddings, vector search / retrieval infra; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0064326,3,0.994657,"7.6 years experience, currently Search Engineer at Sarvam AI, with hands-on vector search / retrieval infra, Python; based in Gurgaon, Haryana (India), matching the Pune/Noida-preferred footprint."
CAND_0018499,4,0.984915,"7.2 years experience, currently Senior Machine Learning Engineer at Zomato, with hands-on embeddings, vector search / retrieval infra. Based in Noida, Uttar Pradesh (India), matching the Pune/Noida-preferred footprint; a 15-day notice period fits the JD's sub-30-day preference."
CAND_0077337,5,0.947567,"7.0 years experience, currently Staff Machine Learning Engineer at Paytm, with hands-on embeddings, vector search / retrieval infra."
CAND_0069905,6,0.945393,"6.6 years experience, currently Applied ML Engineer at Sarvam AI, with hands-on embeddings, vector search / retrieval infra."
CAND_0046064,7,0.938104,"8.9 years experience, currently Senior NLP Engineer at Salesforce, with hands-on vector search / retrieval infra, Python; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0079064,8,0.932115,"5.2 years experience, currently Senior Data Scientist at Niramai, with hands-on embeddings, vector search / retrieval infra. Based in Noida, Uttar Pradesh (India), matching the Pune/Noida-preferred footprint; a long 120-day notice period is a practical concern."
CAND_0041669,9,0.923372,"8.0 years experience, currently Recommendation Systems Engineer at CRED, with hands-on vector search / retrieval infra, embeddings; based in Noida, Uttar Pradesh (India), matching the Pune/Noida-preferred footprint."
CAND_0002025,10,0.919906,"5.9 years experience, currently Senior AI Engineer at Apple, with hands-on vector search / retrieval infra, Python; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0071974,11,0.918200,"7.8 years experience, currently Senior AI Engineer at Netflix, with hands-on embeddings, vector search / retrieval infra."
CAND_0093912,12,0.917431,"5.3 years experience, currently Senior Data Scientist at Razorpay, with hands-on vector search / retrieval infra, embeddings; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0030784,13,0.915960,"4.4 years experience, currently Data Scientist at Yellow.ai, with hands-on Python, embeddings; based in Delhi, Delhi (India), matching the Pune/Noida-preferred footprint."
CAND_0055905,14,0.913458,"8.1 years experience, currently Senior Machine Learning Engineer at Flipkart, with hands-on embeddings, vector search / retrieval infra. Based outside India in London, which is case-by-case per the JD given no visa sponsorship; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0030031,15,0.907629,"5.7 years experience, currently AI Engineer at Microsoft, with hands-on Python, embeddings; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0088025,16,0.905163,"8.6 years experience, currently Staff Machine Learning Engineer at Yellow.ai, with hands-on vector search / retrieval infra, Python."
CAND_0065786,17,0.903173,"4.9 years experience, currently AI Specialist at Swiggy, with hands-on vector search / retrieval infra, ranking evaluation (NDCG/MRR/A-B testing)."
CAND_0050876,18,0.898935,"6.0 years experience, currently Applied ML Engineer at Freshworks, with hands-on embeddings, vector search / retrieval infra."
CAND_0008425,19,0.894917,"7.8 years experience, currently Senior NLP Engineer at Ola, with hands-on embeddings, Python."
CAND_0046525,20,0.889987,"6.1 years experience, currently Senior Machine Learning Engineer at Genpact AI, with hands-on embeddings, vector search / retrieval infra; based in Pune, Maharashtra (India), matching the Pune/Noida-preferred footprint."
CAND_0007596,21,0.887661,"4.4 years experience, currently Junior ML Engineer at Flipkart, with hands-on vector search / retrieval infra, embeddings; based in Delhi, Delhi (India), matching the Pune/Noida-preferred footprint."
CAND_0043637,22,0.887423,"5.5 years experience, currently Junior ML Engineer at Rephrase.ai, with hands-on vector search / retrieval infra, ranking evaluation (NDCG/MRR/A-B testing); based in Delhi, Delhi (India), matching the Pune/Noida-preferred footprint."
CAND_0054123,23,0.887279,"4.7 years experience, currently Applied ML Engineer at Meta, with hands-on vector search / retrieval infra, embeddings; based in Gurgaon, Haryana (India), matching the Pune/Noida-preferred footprint."
CAND_0011687,24,0.882741,"7.8 years experience, currently Senior NLP Engineer at Niramai, with hands-on embeddings, vector search / retrieval infra; a 15-day notice period fits the JD's sub-30-day preference."
CAND_0046459,25,0.880960,"4.5 years experience, currently AI Research Engineer at upGrad, with hands-on vector search / retrieval infra, Python. Based in Pune, Maharashtra (India), matching the Pune/Noida-preferred footprint; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0076163,26,0.880770,"6.9 years experience, currently NLP Engineer at Ola, with hands-on embeddings, vector search / retrieval infra."
CAND_0004402,27,0.879622,"6.0 years experience, currently AI Research Engineer at Yellow.ai, with hands-on ranking evaluation (NDCG/MRR/A-B testing), embeddings; based in Delhi, Delhi (India), matching the Pune/Noida-preferred footprint."
CAND_0054394,28,0.879018,"4.1 years experience, currently Recommendation Systems Engineer at PharmEasy, with hands-on embeddings, vector search / retrieval infra. Based in Pune, Maharashtra (India), matching the Pune/Noida-preferred footprint; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0005260,29,0.872375,"5.2 years experience, currently Senior NLP Engineer at Netflix, with hands-on embeddings, Python."
CAND_0068351,30,0.871862,"6.4 years experience, currently Lead AI Engineer at Sarvam AI, with hands-on vector search / retrieval infra, Python. Based in Delhi, Delhi (India), matching the Pune/Noida-preferred footprint; a 0-day notice period fits the JD's sub-30-day preference."
CAND_0036184,31,0.868466,"6.0 years experience, currently Recommendation Systems Engineer at CRED, with hands-on embeddings, vector search / retrieval infra; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0036437,32,0.865172,"4.8 years experience, currently Search Engineer at Rephrase.ai, with hands-on vector search / retrieval infra, embeddings; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0081686,33,0.863062,"6.0 years experience, currently Search Engineer at Netflix, with hands-on embeddings, vector search / retrieval infra; based outside India in Austin, which is case-by-case per the JD given no visa sponsorship."
CAND_0078042,34,0.860246,"4.7 years experience, currently Applied ML Engineer at PolicyBazaar, with hands-on embeddings, vector search / retrieval infra. Based outside India in Dubai, which is case-by-case per the JD given no visa sponsorship; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0010257,35,0.857380,"6.5 years experience, currently Senior Data Scientist at Google, with hands-on vector search / retrieval infra, Python. Based in Noida, Uttar Pradesh (India), matching the Pune/Noida-preferred footprint; a long 120-day notice period is a practical concern."
CAND_0041610,36,0.855720,"6.7 years experience, currently Recommendation Systems Engineer at Zoho, with hands-on vector search / retrieval infra, ranking evaluation (NDCG/MRR/A-B testing); a 30-day notice period fits the JD's sub-30-day preference."
CAND_0074225,37,0.855366,"4.3 years experience, currently Machine Learning Engineer at Unacademy, with hands-on vector search / retrieval infra, Python; a long 120-day notice period is a practical concern."
CAND_0083879,38,0.854269,"7.1 years experience, currently Machine Learning Engineer at Ola, with hands-on embeddings, vector search / retrieval infra. Based in Noida, Uttar Pradesh (India), matching the Pune/Noida-preferred footprint; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0042029,39,0.852773,"6.5 years experience, currently Senior Data Scientist at Flipkart, with hands-on embeddings, vector search / retrieval infra; based in Delhi, Delhi (India), matching the Pune/Noida-preferred footprint."
CAND_0043860,40,0.852109,"6.1 years experience, currently Junior ML Engineer at Aganitha, with hands-on embeddings, vector search / retrieval infra; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0068513,41,0.849801,"4.0 years experience, currently Computer Vision Engineer at Sarvam AI, with hands-on vector search / retrieval infra, ranking evaluation (NDCG/MRR/A-B testing)."
CAND_0000031,42,0.849563,"6.0 years experience, currently Recommendation Systems Engineer at Swiggy, with hands-on embeddings, vector search / retrieval infra; based in Hyderabad, Telangana (India), matching the Pune/Noida-preferred footprint."
CAND_0044855,43,0.849427,"6.6 years experience, currently Senior Data Scientist at Flipkart, with hands-on embeddings, vector search / retrieval infra."
CAND_0075249,44,0.848906,"6.2 years experience, currently Applied ML Engineer at Zomato, with hands-on embeddings, vector search / retrieval infra."
CAND_0093763,45,0.848296,"5.0 years experience, currently Senior Software Engineer (ML) at Swiggy, with hands-on embeddings, vector search / retrieval infra; based in Noida, Uttar Pradesh (India), matching the Pune/Noida-preferred footprint."
CAND_0072688,46,0.846997,"6.9 years experience, currently Data Scientist at Niramai, with hands-on vector search / retrieval infra, embeddings; based in Pune, Maharashtra (India), matching the Pune/Noida-preferred footprint."
CAND_0099806,47,0.846785,"4.6 years experience, currently AI Engineer at Mad Street Den, with hands-on embeddings, vector search / retrieval infra; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0040887,48,0.844900,"4.7 years experience, currently Machine Learning Engineer at Netflix, with hands-on Python, vector search / retrieval infra. Based outside India in Toronto, which is case-by-case per the JD given no visa sponsorship; a 15-day notice period fits the JD's sub-30-day preference."
CAND_0045250,49,0.844661,"6.6 years experience, currently Applied ML Engineer at Rephrase.ai, with hands-on embeddings, vector search / retrieval infra. Based in Delhi, Delhi (India), matching the Pune/Noida-preferred footprint; a 15-day notice period fits the JD's sub-30-day preference."
CAND_0011162,50,0.842446,"5.8 years experience, currently Recommendation Systems Engineer at upGrad, with hands-on vector search / retrieval infra, embeddings."
CAND_0054546,51,0.838875,"4.9 years experience, currently AI Research Engineer at Razorpay, with hands-on vector search / retrieval infra, ranking evaluation (NDCG/MRR/A-B testing); based in Pune, Maharashtra (India), matching the Pune/Noida-preferred footprint."
CAND_0073007,52,0.838842,"5.8 years experience, currently AI Specialist at Aganitha, with hands-on embeddings, vector search / retrieval infra; based in Bangalore, Karnataka (India), matching the Pune/Noida-preferred footprint."
CAND_0062413,53,0.838386,"6.6 years experience, currently AI Research Engineer at upGrad, with hands-on vector search / retrieval infra, ranking evaluation (NDCG/MRR/A-B testing); based in Mumbai, Maharashtra (India), matching the Pune/Noida-preferred footprint."
CAND_0094056,54,0.836786,"5.9 years experience, currently NLP Engineer at Rephrase.ai, with hands-on embeddings, vector search / retrieval infra; a long 120-day notice period is a practical concern."
